Cód Origem,Type,Voos Semanais,Diário,COMPRIMENTO_MAX,LATITUDE,LONGITUDE,Cod_4000,Dist_4000,Comp_4000,Lat_4000,Lon_4000,Cod_6000,Dist_6000,Comp_6000,Lat_6000,Lon_6000,Cod_8000,Dist_8000,Comp_8000,Lat_8000,Lon_8000,Cod_10000,Dist_10000,Comp_10000,Lat_10000,Lon_10000,Cod_12000,Dist_12000,Comp_12000,Lat_12000,Lon_12000
SBFZ,Turboprop,7,True,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBPL,355.2341209947568,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1169.817374075506,13123.359580052493,-22.810000000000002,-43.25055555555556
SBFZ,Wide Body,15,True,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBFZ,0.0,8349.737532808398,-3.7758333333333334,-38.532222222222224,SBPL,355.2341209947568,10662.72965879265,-9.3675,-40.56361111111111,SBGL,1169.817374075506,13123.359580052493,-22.810000000000002,-43.25055555555556
SBGL,Narrow Body,597,True,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556
SBGL,Regional Jet,31,False,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556
SBGL,Wide Body,99,True,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556,SBGL,0.0,13123.359580052493,-22.810000000000002,-43.25055555555556
SBGO,Narrow Body,133,True,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBAN,28.285582531505852,10827.0,-16.2292,-48.964298,SBGR,435.2408570420718,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGO,Regional Jet,99,True,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBAN,28.285582531505852,10827.0,-16.2292,-48.964298,SBGR,435.2408570420718,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGO,Turboprop,21,True,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBGO,0.0,8202.099737532808,-16.6325,-49.221111111111114,SBAN,28.285582531505852,10827.0,-16.2292,-48.964298,SBGR,435.2408570420718,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGR,Narrow Body,1617,True,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGR,Regional Jet,124,True,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGR,Turboprop,32,True,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554
SBGR,Wide Body,379,True,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554,SBGR,0.0,12139.107611548556,-23.435555555555556,-46.473055555555554
